기관,담당부서,날짜,제목,링크
⚖️ 입법예고,공정거래위원회 (총리령),2026. 9. 10. ~2026. 9. 17.,공정거래위원회와 그 소속기관 직제 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88492
⚖️ 입법예고,경찰청 (부령),2026. 9. 10. ~2026. 9. 17.,경찰청과 그 소속기관 직제 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88490
⚖️ 입법예고,법무부 (대통령령),2026. 9. 10. ~2026. 9. 15.,사건심의위원회 구성 및 운영에 관한 규정안 제정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88524
⚖️ 입법예고,질병관리청 (대통령령),2026. 9. 10. ~2026. 10. 20.,희귀질환관리법 시행령 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88488
⚖️ 입법예고,질병관리청 (부령),2026. 9. 10. ~2026. 10. 20.,희귀질환관리법 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88486
⚖️ 입법예고,교육부 (대통령령),2026. 9. 10. ~2026. 10. 22.,국립사범대학 졸업자 중 교원미임용자 임용 등에 관한 특별법 시행령 폐지령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88484
⚖️ 입법예고,조달청 (부령),2026. 9. 10. ~2026. 9. 17.,조달청과 그 소속기관 직제 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88482
⚖️ 입법예고,행정중심복합도시건설청 (부령),2026. 9. 10. ~2026. 9. 17.,행정중심복합도시건설청 직제 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88480
⚖️ 입법예고,보건복지부 (부령),2026. 9. 10. ~2026. 10. 20.,장애인·노인·임산부 등의 편의증진 보장에 관한 법률 시행규칙 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88478
⚖️ 입법예고,과학기술정보통신부 (대통령령),2026. 9. 10. ~2026. 10. 20.,우정사업 운영에 관한 특례법 시행령 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88506
⚖️ 입법예고,과학기술정보통신부 (대통령령),2026. 9. 10. ~2026. 9. 14.,전기통신사업법 시행령 일부개정령안 재입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88476
⚖️ 입법예고,행정안전부 (대통령령),2026. 9. 9. ~2026. 10. 19.,자연재해대책법 시행령 일부개정령안 입법예고,https://opinion.lawmaking.go.kr/gcom/ogLmPp/88472
⚖️ 행정예고,국토교통부 (제2026-1159호),"2026. 9. 10. 
~ 2026. 10. 2.",건축물의 설계도서 작성기준 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47370?announceType=TYPE6&mappingAdmRulSeq=2000000330746
⚖️ 행정예고,통일부 (제2026-161호),"2026. 9. 10. 
~ 2026. 9. 30.",북한이탈주민 지역적응센터 운영 등에 관한 고시 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47372?announceType=TYPE6&mappingAdmRulSeq=2000000330748
⚖️ 행정예고,방송미디어통신위원회 (제2026-246호),"2026. 9. 10. 
~ 2026. 9. 30.",개인위치정보사업등록 세부심사기준별 평가방법 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47374?announceType=TYPE6&mappingAdmRulSeq=2000000330750
⚖️ 행정예고,방송미디어통신위원회 (제2026-247호),"2026. 9. 10. 
~ 2026. 9. 30.",개인위치정보사업 양수 및 법인의 합병 등의 인가 세부심사기준별 평가방법 일...,https://opinion.lawmaking.go.kr/gcom/admpp/47376?announceType=TYPE6&mappingAdmRulSeq=2000000330752
⚖️ 행정예고,질병관리청 (제2026-345호),"2026. 9. 10. 
~ 2026. 9. 21.",필수예방접종이 필요한 감염병 지정 등 일부개정 고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47378?announceType=TYPE6&mappingAdmRulSeq=2000000330754
⚖️ 행정예고,질병관리청 (제2026-346호),"2026. 9. 10. 
~ 2026. 9. 21.",예방접종의 실시기준 및 방법 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47380?announceType=TYPE6&mappingAdmRulSeq=2000000330756
⚖️ 행정예고,국방부 (제2026-406호),"2026. 9. 10. 
~ 2026. 9. 30.",국방부 공사계약 종합심사낙찰제 세부심사기준에 관한 훈령 일부개정안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47314?announceType=TYPE6&mappingAdmRulSeq=2000000330704
⚖️ 행정예고,강원지방우정청 (제2026-84호),"2026. 9. 10. 
~ 2026. 9. 30.",우체국 설치장소 변경(이전)에 따른 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47382?announceType=TYPE6&mappingAdmRulSeq=2000000330758
⚖️ 행정예고,산림청 (제2026-390호),"2026. 9. 9. 
~ 2026. 9. 30.",사방시설의 유지관리 지침 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47366?announceType=TYPE6&mappingAdmRulSeq=2000000330674
⚖️ 행정예고,산림청 (제2026-391호),"2026. 9. 9. 
~ 2026. 9. 30.",사방사업의 타당성평가 및 위탁업무 처리규정 일부개정고시안 행정예고,https://opinion.lawmaking.go.kr/gcom/admpp/47364?announceType=TYPE6&mappingAdmRulSeq=2000000330672
